candidate_id,dataset,sample_id,model_key,source,model_prediction,operation,edit_start,edit_end,source_text,target_text,edit_description,edit_validity,rule_text,evidence_spans_json,rationale,confidence,human_alignment_error,human_validity_error,human_wrong_rule,human_inapplicable_rule,human_missing_evidence,human_wrong_evidence,human_generic_explanation,human_edit_copy,human_semantic_distortion,human_unsupported_confidence,human_notes,human_decision
rf-edit-0141::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0006,t5_base_grammar,"I want to talk about nocive or bad products like alcohol , hair spray and cigarrets .","I want to talk about harmful or bad products like alcohol, hair spray and cigarettes.",replace,5,6,nocive,harmful,Replace 'nocive' with 'harmful',acceptable_alternative,Use a more commonly understood synonym when the original word is obscure or less frequently used.,"[{""end"": 6, ""role"": ""original"", ""start"": 5, ""text"": ""nocive""}]",The word 'nocive' is relatively obscure and may not be widely understood by all readers. Replacing it with 'harmful' enhances clarity and ensures the intended meaning is conveyed effectively to a broader audience.,0.9,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0225::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0037,t5_base_grammar,Third the butt it in hte front of the door of store to make the poeple see it even if it is not good,"Third, they put it in front of the door of the store to make the people see it, even if it is not good.",replace,1,2,the,they,Replace 'the' with 'they' at the beginning of the sentence.,invalid,The subject and verb in a sentence must agree in number (singular/plural).,"[{""end"": 24, ""role"": ""source"", ""start"": 0, ""text"": ""Third the butt it in hte front of the door of store to make the poeple see it even if it is not good""}]","The original sentence begins with 'Third the', which is grammatically incorrect because 'the' is a determiner, not a subject. Replacing 'the' with 'they' introduces a subject ('they') that does not logically match the context of the sentence. The intended meaning is unclear, and the subject 'they' is not established in the sentence, making this replacement invalid.",0.95,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0025::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00013,gector_roberta_base,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Computers have had the most significant impact on people in the latter 1/2 of the 20th century .,delete,8,9,the,,Remove the article 'the' before 'most significant impact',stylistic,Articles like 'the' may be omitted when the noun phrase is clearly defined or when the context makes the reference unambiguous.,[],The article 'the' is stylistically optional before 'most significant impact' because the phrase is already clearly defined in the context of the sentence. Removing it results in a more concise and natural phrasing.,0.95,yes,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: alignment_error, missing_evidence, edit_copy, unsupported_confidence.",reject
rf-edit-0025::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00013,gector_roberta_base,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Computers have had the most significant impact on people in the latter 1/2 of the 20th century .,delete,8,9,the,,Remove the article 'the' before 'most significant impact'.,stylistic,Articles like 'the' may be omitted when the noun phrase is clearly defined or when the context makes the reference unambiguous.,[],"The article 'the' is stylistically redundant before 'most significant impact' because the phrase is already clearly defined in the context of the sentence, making the article unnecessary for clarity or specificity.",0.95,yes,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: alignment_error, missing_evidence, edit_copy, unsupported_confidence.",reject
rf-edit-0033::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00040,gector_roberta_base,"I think about transport that the government should help the public transport , for example buses , train , the metro and more , for a single reason : the quality of life against the pollution .","I think about transport that the government should help public transport , for example buses , trains , the metro and more , for a single reason : the quality of life against pollution .",delete,34,35,the,,Remove the article 'the' before 'pollution'.,stylistic,Avoid unnecessary articles before nouns that are clearly defined by context.,[],"The article 'the' before 'pollution' is unnecessary because the prepositional phrase 'against pollution' already provides sufficient context, making the article redundant and stylistically optional.",0.9,yes,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: alignment_error, missing_evidence, edit_copy, unsupported_confidence.",reject
rf-edit-0035::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00028,gector_roberta_base,A worldwide war is the only case in which we would see a dramatic change in peoples lives in the time length of 50 years from now .,A worldwide war is the only case in which we will see a dramatic change in peoples ' lives in 50 years from now .,insert,17,17,,',"The model inserts ""'"" at source token span [17,17).",uncertain,,[],"{ ""edit_description"": ""Insert an apostrophe after 'peoples'"", ""edit_validity"": ""stylistic"", ""rule_id"": ""punctuation_apostrophe"", ""rule_text"": ""An apostrophe is used to indicate possession or contraction."", ""evidence_spans"": [ { ""text"": ""peoples"", ""start"": 17, ""end"": 23, ""role"": ""target"" } ], ""applicability_conditions"": [ ""the word is a plural noun"", ""the word is being used to refer to people in general"", ""the word is not indicating possession"" ], ""rationale"": ""The word 'peoples' is a plural noun referring to groups of people, and does not require an apostrophe unless it is being used to indicate possession (e.g., 'peoples\' homes'). In this context, the apostrophe is unnecessary and stylistically incorrect."", ""confidence"": 0.95, ""abstain"": false, ""abstain_reason"": """" }",0.25,no,no,no,no,yes,no,no,yes,no,no,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy.",refine
rf-edit-0217::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00016,t5_base_grammar,In the end I think if many people want the Monarchy to be ablished a general election should be called and then see if the Monarchy should be abolished .,"In the end, I think if many people want the monarchy to be established, a general election should be called and then see if the monarchy should be abolished.",replace,13,14,ablished,"established,",Replace 'ablished' with 'established',valid,Correct spelling of words with common misspellings.,"[{""end"": 14, ""role"": ""error"", ""start"": 13, ""text"": ""ablished""}, {""end"": 14, ""role"": ""correction"", ""start"": 13, ""text"": ""ablished""}]",The word 'ablished' is a common misspelling of 'established'. Correcting it ensures clarity and proper communication of the intended meaning.,0.95,yes,yes,yes,yes,no,yes,no,no,yes,yes,"Codex prelabel from automatic diagnostics: alignment_error, validity_error, wrong_rule, inapplicable_rule, wrong_evidence, ...",reject
rf-edit-0242::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00017,coedit_large,"Sometimes we go to partyies in the city , I dance in the parties with my friends .",Sometimes we go to parties in the city; I dance in the parties with my friends.,replace,4,5,partyies,parties,Correcting the spelling of 'partyies' to 'parties',valid,Correct misspelled words to their standard form.,"[{""end"": 5, ""role"": ""error"", ""start"": 4, ""text"": ""partyies""}, {""end"": 14, ""role"": ""corrected"", ""start"": 13, ""text"": ""parties""}]","The word 'partyies' contains an incorrect double 'i', which is a common spelling mistake. The correct spelling is 'parties', which is a standard English word referring to social gatherings. This correction aligns the text with proper spelling conventions.",1.0,yes,yes,yes,yes,no,yes,no,no,yes,yes,"Codex prelabel from automatic diagnostics: alignment_error, validity_error, wrong_rule, inapplicable_rule, wrong_evidence, ...",reject
rf-edit-0125::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00001,t5_base_grammar,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think about how different our lives are compared to our parents' or grandparents' lives. For example, my parents didn't watch tv because there wasn't any tv in the world when they were young.but that isn't the only difference : we can think about the mobile phone , the computer and finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives.",delete,20,21,either,,Remove the word 'either' from the sentence.,stylistic,"When comparing two items in a list, the conjunction 'either' is often redundant if the list is already clear without it.","[{""end"": 25, ""role"": ""target"", ""start"": 20, ""text"": ""either to our parents '""}]",The word 'either' is redundant in this context because the sentence already uses 'or' to introduce the two options. Removing 'either' makes the sentence more concise and natural.,0.95,yes,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: alignment_error, missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",reject
rf-edit-0129::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0032,t5_base_grammar,Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study .,Because all those broad knowledge help them to understand their major in university as well as help them to make a correct choice in specializing study.,replace,0,1,Beacuse,Because,Correcting the spelling of 'Beacuse' to 'Because',valid,Ensure correct spelling of words.,"[{""end"": 1, ""role"": ""error"", ""start"": 0, ""text"": ""Beacuse""}]",The word 'Beacuse' is a misspelling of 'Because'. Correcting this spelling error ensures clarity and proper communication.,1.0,yes,yes,yes,yes,no,no,no,no,yes,yes,"Codex prelabel from automatic diagnostics: alignment_error, validity_error, wrong_rule, inapplicable_rule, semantic_distortion, ...",reject
rf-edit-0129::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0032,t5_base_grammar,Beacuse all those broad knowledge help they to understand their major in university as well as help they to make a correct choice in specializing study .,Because all those broad knowledge help them to understand their major in university as well as help them to make a correct choice in specializing study.,replace,0,1,Beacuse,Because,Correcting the spelling of 'Beacuse' to 'Because',valid,Ensure correct spelling of words.,"[{""end"": 1, ""role"": ""error"", ""start"": 0, ""text"": ""Beacuse""}]",The word 'Beacuse' is a clear spelling error of the correct word 'Because'. Correcting this spelling error improves the clarity and correctness of the sentence.,1.0,yes,yes,yes,yes,no,no,no,no,yes,yes,"Codex prelabel from automatic diagnostics: alignment_error, validity_error, wrong_rule, inapplicable_rule, semantic_distortion, ...",reject
rf-edit-0147::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0028,t5_base_grammar,Specializing in one particular subject does not suit our life in this era which is characterized by diversity and innovation,"Specializing in one particular subject does not suit our life in this era, which is characterized by diversity and innovation.",replace,12,13,era,"era,",Adding a comma after 'era' to separate the main clause from the relative clause.,valid,A comma should be used after introductory clauses or phrases that are not essential to the meaning of the sentence.,"[{""end"": 20, ""role"": ""relative_clause"", ""start"": 13, ""text"": ""which is characterized by diversity and innovation""}]","The phrase 'which is characterized by diversity and innovation' is a non-restrictive relative clause that adds additional context to the main clause. A comma is required after 'era' to properly separate the main clause from this relative clause, ensuring clarity and proper punctuation.",0.95,yes,yes,yes,yes,no,no,no,no,yes,yes,"Codex prelabel from automatic diagnostics: alignment_error, validity_error, wrong_rule, inapplicable_rule, semantic_distortion, ...",reject
rf-edit-0217::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00016,t5_base_grammar,In the end I think if many people want the Monarchy to be ablished a general election should be called and then see if the Monarchy should be abolished .,"In the end, I think if many people want the monarchy to be established, a general election should be called and then see if the monarchy should be abolished.",replace,13,14,ablished,"established,",Replace 'ablished' with 'established',valid,Correct spelling of words with common misspellings.,"[{""end"": 14, ""role"": ""error"", ""start"": 13, ""text"": ""ablished""}, {""end"": 14, ""role"": ""correct"", ""start"": 13, ""text"": ""ablished""}]",The word 'ablished' is a common misspelling of 'established'. Correcting it to 'established' ensures proper spelling and clarity in the sentence.,0.95,yes,yes,yes,yes,no,no,no,no,yes,yes,"Codex prelabel from automatic diagnostics: alignment_error, validity_error, wrong_rule, inapplicable_rule, semantic_distortion, ...",reject
rf-edit-0242::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00017,coedit_large,"Sometimes we go to partyies in the city , I dance in the parties with my friends .",Sometimes we go to parties in the city; I dance in the parties with my friends.,replace,4,5,partyies,parties,Correcting the spelling of 'partyies' to 'parties',valid,Ensure correct spelling of words.,"[{""end"": 5, ""role"": ""error"", ""start"": 4, ""text"": ""partyies""}, {""end"": 14, ""role"": ""correct"", ""start"": 13, ""text"": ""parties""}]","The word 'partyies' contains an incorrect double 'i', which is not part of the standard spelling of the word 'parties'. Correcting this spelling error ensures clarity and proper communication.",1.0,yes,yes,yes,yes,no,no,no,no,yes,yes,"Codex prelabel from automatic diagnostics: alignment_error, validity_error, wrong_rule, inapplicable_rule, semantic_distortion, ...",reject
rf-edit-0291::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00008,coedit_large,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without",replace,48,49,susage,"sausage,",Correcting the spelling of 'susage' to 'sausage',valid,Ensure correct spelling of words.,"[{""end"": 49, ""role"": ""error"", ""start"": 48, ""text"": ""susage""}, {""end"": 52, ""role"": ""correct"", ""start"": 48, ""text"": ""susage and in order""}]","The word 'susage' is misspelled. The correct spelling is 'sausage', which refers to a type of food. Correcting the spelling ensures clarity and proper communication.",1.0,yes,yes,yes,yes,no,no,no,no,yes,yes,"Codex prelabel from automatic diagnostics: alignment_error, validity_error, wrong_rule, inapplicable_rule, semantic_distortion, ...",reject
rf-edit-0291::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00008,coedit_large,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without",replace,48,49,susage,"sausage,",Correcting the spelling of 'susage' to 'sausage',valid,Ensure correct spelling of words.,"[{""end"": 49, ""role"": ""error"", ""start"": 48, ""text"": ""susage""}, {""end"": 52, ""role"": ""correct"", ""start"": 48, ""text"": ""susage and in order""}]","The word 'susage' is misspelled. The correct spelling is 'sausage', which refers to a type of food. Correcting the spelling ensures clarity and proper communication.",1.0,yes,yes,yes,yes,no,no,no,no,yes,yes,"Codex prelabel from automatic diagnostics: alignment_error, validity_error, wrong_rule, inapplicable_rule, semantic_distortion, ...",reject
rf-edit-0009::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0026,gector_roberta_base,So the school try learning the students a bit in every science exist .,So the school tries teaching the students a bit of every science that exists .,replace,3,4,try,tries,Change 'try' to 'tries' to match subject-verb agreement,valid,The verb must agree with the subject in number (singular/plural).,"[{""end"": 3, ""role"": ""subject"", ""start"": 2, ""text"": ""school""}, {""end"": 4, ""role"": ""verb"", ""start"": 3, ""text"": ""try""}]","The subject 'school' is singular, so the verb should be 'tries' instead of 'try' to maintain subject-verb agreement.",1.0,yes,no,no,no,no,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: alignment_error, edit_copy, unsupported_confidence.",reject
rf-edit-0009::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0026,gector_roberta_base,So the school try learning the students a bit in every science exist .,So the school tries teaching the students a bit of every science that exists .,replace,3,4,try,tries,Change 'try' to 'tries' to match subject-verb agreement,valid,the verb must agree with its subject in number,"[{""end"": 3, ""role"": ""subject"", ""start"": 2, ""text"": ""school""}, {""end"": 4, ""role"": ""verb"", ""start"": 3, ""text"": ""try""}]","The subject 'school' is singular, so the verb should be in third person singular form. 'Tries' agrees with 'school' in number and tense, making it grammatically correct.",1.0,yes,no,no,no,no,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: alignment_error, edit_copy, unsupported_confidence.",reject
rf-edit-0039::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00037,gector_roberta_base,I took the sun a very long time and then I went to a cafe and and I drank a drink .,I took the sun for a very long time and then I went to a cafe and drank a drink .,delete,15,16,and,,Remove the redundant 'and' before 'drank a drink',stylistic,Avoid using redundant conjunctions when the preceding clause already contains a conjunction or when the structure is clear without it.,"[{""end"": 16, ""role"": ""redundant_conjunction"", ""start"": 15, ""text"": ""and""}]","The word 'and' before 'drank a drink' is redundant because the previous clause ends with 'cafe', and the sequence of actions is already clear without the conjunction. Removing it improves the flow and conciseness of the sentence.",0.95,yes,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: alignment_error, missing_evidence, edit_copy, unsupported_confidence.",reject
rf-edit-0039::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00037,gector_roberta_base,I took the sun a very long time and then I went to a cafe and and I drank a drink .,I took the sun for a very long time and then I went to a cafe and drank a drink .,delete,15,16,and,,Remove the redundant 'and' before 'drank a drink',stylistic,Avoid using redundant conjunctions when the preceding clause already contains a conjunction or when the structure is clear without it.,"[{""end"": 16, ""role"": ""redundant_conjunction"", ""start"": 15, ""text"": ""and""}]","The word 'and' before 'drank a drink' is redundant because the previous clause ends with 'cafe', and the sequence of actions is already clear without it. Removing it improves the flow and conciseness of the sentence.",0.95,yes,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: alignment_error, missing_evidence, edit_copy, unsupported_confidence.",reject
